object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
smithsonian_nature_7f314bcd4746b89b56a4,landscape,smithsonian_selected,smithsonian_nature_7f314bcd4746b89b56a4,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/sclerhelia-alcocki__15f98cc0-e519-4dc9-a8c1-71c159d6480f/Sclerhelia_alcocki-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/sclerhelia-alcocki__15f98cc0-e519-4dc9-a8c1-71c159d6480f,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_7f5dba61b5fbc43c3e25,landscape,smithsonian_selected,smithsonian_nature_7f5dba61b5fbc43c3e25,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/prionastraea-spectabilis__d5bea90f-8442-4f59-815e-88c63671c7c9/Prionastraea_spectabilis-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/prionastraea-spectabilis__d5bea90f-8442-4f59-815e-88c63671c7c9,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_7fa7ec449312b8a9bb01,landscape,smithsonian_selected,smithsonian_nature_7fa7ec449312b8a9bb01,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/javania-erhardti__17d39d09-4a02-42a1-8382-5dbda1613490/Javania_erhardti-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/javania-erhardti__17d39d09-4a02-42a1-8382-5dbda1613490,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_8296e72c67c914f1eefd,landscape,smithsonian_selected,smithsonian_nature_8296e72c67c914f1eefd,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-andrewsi__42dff6fb-313f-4cdb-ab47-bd0003e12b90/Porites_andrewsi-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-andrewsi__42dff6fb-313f-4cdb-ab47-bd0003e12b90,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_82983f11a2d8c4261e82,landscape,smithsonian_selected,smithsonian_nature_82983f11a2d8c4261e82,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-compressa-clavus__585af949-7dec-4ff7-9077-87637865b28e/Porites_compressa_clavus-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-compressa-clavus__585af949-7dec-4ff7-9077-87637865b28e,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_82dba48289aa04c14072,landscape,smithsonian_selected,smithsonian_nature_82dba48289aa04c14072,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/archaeopteryx-siemensii-dames__391660da-7c49-499c-91f5-88a298686c09/PAL509743-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/archaeopteryx-siemensii-dames__391660da-7c49-499c-91f5-88a298686c09,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_83d5e05bf8894f979c0d,landscape,smithsonian_selected,smithsonian_nature_83d5e05bf8894f979c0d,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/agaricia-fragilis__6455bad9-c950-4336-9f2d-a136963b4bd4/Agaricia_fragilis-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/agaricia-fragilis__6455bad9-c950-4336-9f2d-a136963b4bd4,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_874f3cff35342ed29e6b,landscape,smithsonian_selected,smithsonian_nature_874f3cff35342ed29e6b,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/hunting-horn__ad94884b-fdd7-4fc3-a692-e53b787d78e6/nmafa-2005_6_9-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/hunting-horn__ad94884b-fdd7-4fc3-a692-e53b787d78e6,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_875f5df5a8e6d873ceaa,landscape,smithsonian_selected,smithsonian_nature_875f5df5a8e6d873ceaa,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/tycho-supernova-remnant__c0bc58e6-b172-4543-ad58-50261aea523c/Tycho_Ejecta_Whole_Decimated_50percent-cleaned-90k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/tycho-supernova-remnant__c0bc58e6-b172-4543-ad58-50261aea523c,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_886b72447609dbb60643,landscape,smithsonian_selected,smithsonian_nature_886b72447609dbb60643,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/balanus-tintinnabulum-volcano__9be814e4-95ea-4e2a-926d-ecfc4fc7f1c4/Balanus_tintinnabulum_volcano-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/balanus-tintinnabulum-volcano__9be814e4-95ea-4e2a-926d-ecfc4fc7f1c4,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
