object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
abo_9da27dd8197bead92a30,ecommerce,abo_selected,abo_9da27dd8197bead92a30,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/9/B07B4MDB89.glb,,glb,true,true,true,false,false,false,false,false,1,false,true,B_fixable,missing_normal;missing_roughness;missing_metallic,,needs_pbr_channel_audit,2026-04-15T00:00:00Z,manual_v1
smithsonian_nature_342ffe60e0cd2b4f04b4,landscape,smithsonian_selected,smithsonian_nature_342ffe60e0cd2b4f04b4,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/acropora-cervicornis__8e3e67d1-591a-4488-b437-dee35e796d9e/Acropora_cervicornis-150k-4096-high.glb,,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,true,B_fixable,needs_material_bake,,needs_uv_and_material_probe,2026-04-15T00:00:00Z,manual_v1
81e661b237ed4ae196fa8f3427e10712,official_2000,objaverse,81e661b237ed4ae196fa8f3427e10712,glbs/000-100/81e661b237ed4ae196fa8f3427e10712.glb,,glb,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C_render_only,source_asset_not_local,,uid_only_local_glb_missing,2026-04-15T00:00:00Z,manual_v1
